"Domain Code","Domain","Element Code","Element","Unit"
"GB","Climate Change: Agrifood systems emissions: Emissions from Burning of crop residues","7245","Biomass burned (dry matter)","t"
"GB","Climate Change: Agrifood systems emissions: Emissions from Burning of crop residues","7225","Emissions (CH4)","kt"
"GB","Climate Change: Agrifood systems emissions: Emissions from Burning of crop residues","7230","Emissions (N2O)","kt"
"GA","Climate Change: Agrifood systems emissions: Emissions from Crop residues","72342","Direct emissions (N2O) (Crop residues)","kt"
"GA","Climate Change: Agrifood systems emissions: Emissions from Crop residues","7230","Emissions (N2O)","kt"
"GA","Climate Change: Agrifood systems emissions: Emissions from Crop residues","72362","Indirect emissions (N2O) (Crop residues)","kt"
"GA","Climate Change: Agrifood systems emissions: Emissions from Crop residues","72392","Residues in nutrients (Crop residues)","kg"
"GV","Climate Change: Agrifood systems emissions: Emissions from Drained organic soils","5026","Area","ha"
"GV","Climate Change: Agrifood systems emissions: Emissions from Drained organic soils","7273","Emissions (CO2)","kt"
"GV","Climate Change: Agrifood systems emissions: Emissions from Drained organic soils","7230","Emissions (N2O)","kt"
"GV","Climate Change: Agrifood systems emissions: Emissions from Drained organic soils","7216","Net stock change (C)","kt"
"GN","Climate Change: Agrifood systems emissions: Emissions from Energy use in agriculture","7225","Emissions (CH4)","kt"
"GN","Climate Change: Agrifood systems emissions: Emissions from Energy use in agriculture","7273","Emissions (CO2)","kt"
"GN","Climate Change: Agrifood systems emissions: Emissions from Energy use in agriculture","7230","Emissions (N2O)","kt"
"GN","Climate Change: Agrifood systems emissions: Emissions from Energy use in agriculture","72184","Use in agriculture","TJ"
"GE","Climate Change: Agrifood systems emissions: Emissions from Enteric fermentation","7225","Emissions (CH4)","kt"
"GE","Climate Change: Agrifood systems emissions: Emissions from Enteric fermentation","5111","Stocks","An"
"GI","Climate Change: Agrifood systems emissions: Emissions from Fires","7245","Biomass burned (dry matter)","t"
"GI","Climate Change: Agrifood systems emissions: Emissions from Fires","7246","Burned Area","ha"
"GI","Climate Change: Agrifood systems emissions: Emissions from Fires","7225","Emissions (CH4)","kt"
"GI","Climate Change: Agrifood systems emissions: Emissions from Fires","7273","Emissions (CO2)","kt"
"GI","Climate Change: Agrifood systems emissions: Emissions from Fires","7230","Emissions (N2O)","kt"
"GF","Climate Change: Agrifood systems emissions: Emissions from Forests","5110","Area","1000 ha"
"GF","Climate Change: Agrifood systems emissions: Emissions from Forests","72332","Net emissions/removals (CO2) (Forest land)","kt"
"GU","Climate Change: Agrifood systems emissions: Emissions from Manure applied to soils","72341","Direct emissions (N2O) (Manure applied)","kt"
"GU","Climate Change: Agrifood systems emissions: Emissions from Manure applied to soils","7230","Emissions (N2O)","kt"
"GU","Climate Change: Agrifood systems emissions: Emissions from Manure applied to soils","723612","Indirect emissions (N2O that leaches) (Manure applied)","kt"
"GU","Climate Change: Agrifood systems emissions: Emissions from Manure applied to soils","723611","Indirect emissions (N2O that volatilises) (Manure applied)","kt"
"GU","Climate Change: Agrifood systems emissions: Emissions from Manure applied to soils","72361","Indirect emissions (N2O) (Manure applied)","kt"
